position,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
1,"In 1494, ...................published a treatise on the double-entry system of bookkeeping.",Thomas Aquinas,Akintola Williams,Luca Pacioli,Albert Einstein,C,,,medium
2,"...............are the prices paid for living in an organized, and civilized society.",Stipends,Wages,Remunerations,Taxes,D,,,medium
3,The Audit Ordinance Act 1956 requires the Accountant-General to submit a financial report to the Auditor-General within ..........after the end of each financial year.,Three (3) months,Nine (9) months,Seven (7) months,Six (6) months.,C,,,medium
4,Internal users of Government financial information include the following except:,The Government as an Entity.,"Members of the Executives, Advisers and Senior Civil Servants,","Ministries, Extra-Ministerial Departments and Agencies.",Communities in the wilderness.,D,,,medium
5,It was stipulated in the Audit Ordinance Act of 1956 that the Accountant-General must render the following reports but one to the Auditor-General for audit purposes.,Prior Years Accounts.,An abstract of receipts and payments.,A Statement of Assets and Liabilities,A detailed Sttatement of Revenue and Expenditure.,A,,,medium
6,The qualitative characteristics of financial information of public sector entities are both.................,social and scientific,advanced and pivotal,elementary and tertiary,fundamental and enhancing,D,,,medium
7,External users of Government financial information include the following but one:,"Consultants, and other members of professional bodies",Investors and Creditors,Assailants,"Oversight bodies, Donor Agencies and general public.",C,,,medium
8,The financial information of public sector entities have the following qualities except.................,relevance and faithful representative,essentiality and secrecy,comparability and verifiability,understandability and timeline,B,,,medium
9,A statement of cash flow has the following but one of the activities.,Economic activities,Operating activities,Investing activities,Financing activities,A,,,medium
10,Users of government financial information can be both................and ................,Basic and advanced users,Internal and External users.,Legacy and New users,Primary and Secondary users.,B,,,medium
11,A Revenue Collector must periodically present his cash book and receipt books for examination by.............,Officer Controlling Expenditure.,Director of Consolidated Accounts.,Sub-Accounting Officer.,Inland Revenue Service Inspector.,C,,,medium
12,Arrears of Revenue are revenues collectable during a given financial year but which remains uncollected .................. after the close of that financial year.,Nine (9) months,Twelve (12) months,Six (6) months,Three (3) months,D,,,medium
13,Remittance of tax revenue must be made to the Nigeria Revenue Service (NRS) not later than ..............after deduction.,Seven (7) days.,Twenty-one (21) days.,Fifteen (15) days.,Twenty-four (24) days.,B,,,medium
14,Internally Generated Revenues (IGR) collected by a Ministry/Extra Ministerial Office must be remitted to the Consolidated Revenue Fund (CRF) on or before .........of the subsequent month after collection.,Seven (7) days.,Twenty-one (21) days.,Twenty-four (24) days.,Fifteen (15) days.,D,,,medium
15,...............is issued before the passage of the Appropriation Act to keep government services running.,Virement Warrant,SUpplementary Warrant,Provisional General Warrant,Development Fund Warrant.,C,,,medium
16,.............. authorises the Accountant-General to issue funds to pay for the personal emoluments and other services provided in the Annual Estimates.,Recurrent Expenditure General Warrant,SUpplementary Warrant,Provisional General Warrant,Development Fund Warrant.,A,,,medium
17,The Provisional General Warrant authorises the withdrawal of money from the CRF as may be necessary for carrying on the services of government for a period not exceeding ................. and at a level not exceeding the level of those services prevailing in the previous financial year.,Nine (9) months,Twelve (12) months,Three (3) months,Six (6) months.,D,,,medium
18,".............. may be issued in very exceptional cases, where virement is not possible and where an application for additional provision reveals such a degree of urgency.",Circumstantial General Warrant,Supplementary (Contingencies) Warrant,Provisional General Warrant,Development Fund Warrant.,B,,,medium
19,............ authorises the Accountant- General to issue funds to pay for the additional personal emoluments and other services which must have been approved in Supplementary Estimates.,Circumstantial General Warrant,Prudential Development Fund Warrant,Supplementary General Warrant,Provisional General Warrant,C,,,medium
20,"..........is issued when, as a result of circumstances which could not have been foreseen when the Annual Estimates were being compiled.",Circumstantial General Warrant,Prudential Development Fund Warrant,Provisional General Warrant,Virement Warrant.,D,,,medium
21,.................. entails receipts and payments for services that are not specified in the approved Annual Budget estimates.,Below-the-line,Cost-management accounts,Over-the-line,Cash-basis,A,,,medium
22,The followings are the conditions for virement of funds except:,"The amount to be vired, should not exceed any limit prescribed by the National Assembly",Virement should not be used to create a new sub-head or re-introduce items disallowed by the National Assembly.,Virement must not apply to queries raised by the Auditor General.,Virement must not be used to pad annual estimates.,D,,,medium
23,"........... is issued where necessary, additional expenditure over and above that included in the General Warrant or in a Supplementary General Warrant,",Supplementary (Statutory) Expenditure Warrant,Prudential Development Fund Warrant,Provisional General Warrant,Circumstantial General Warrant,A,,,medium
24,...............will be issued where the Capital Expenditure Estimate has not come into operation at the commencement of the financial year.,Virement Warrant,SUpplementary Warrant,Provisional Development Fund General Warrant,Authority-to-Incur Expenditure (AIE).,C,,,medium
25,................ is granted for a particular purpose and it must be retired in full when the purpose has been achieved.,Prepayment,Non-personal cash Advance,Accrual,Special Imprest,D,,,medium
26,"...................... authorises the Accountant General to issue funds for expenditure on capital projects, as specified in the Annual Estimates",Development Fund General Warrant,Virement Warrant,SUpplementary Warrant,Authority-to-Incur Expenditure (AIE).,A,,,medium
27,"...................... authorises the Accountant General to issue funds to incur expenditure on supplementary capital projects, as contained in the Annual Supplementary Capital Estimates.",Prudential Development Fund Warrant,Virement Warrant,Development Fund Supplementary General Warrant,Authority-to-Incur Expenditure (AIE).,C,,,medium
28,...................... authorises the Accountant General to issue funds and the Officers Controlling Expenditure to incur expenditure in certain 'circumstances on capital projects beyond the amounts provided for the year concerned in the Annual or Supplementary Capital Estimates.,Prudential Development Fund Warrant,Circumstantial General Warrant,Authority-to-Incur Expenditure (AIE).,Development Fund Supplementary Warrant,D,,,medium
29,"............. is authorised by the Federal Executive Council (FEC) when an application for Supplementary provision reveals a degree of urgency which makes it essential that funds be immediately made available to meet expenditure which cannot be provided for. by virement or without serious injury to the public interest, be postponed until adequate provision-can be made by the National Assembly.",Prudential Development Fund Warrant,Development Fund (Special) Warrant,Authority-to-Incur Expenditure (AIE).,Citizen-focused Fund General Warrant,B,,,medium
30,....................... Authorizes the reallocation of capital funds from one sub-head to another within the same budget vote where there are savings.,Prudential Development Fund Warrant,Circumstantial General Warrant,Authority-to-Incur Expenditure (AIE).,Development Fund Virement Warrant,D,,,medium
31,.............. are replenished from time to time during a financial year by the submission of paid vouchers to Sub- Accounting Officers for reimbursement.,Standing Imprests,Non-personal cash Advance,Accrual,Prepayment,A,,,medium
32,The following are conditions for capital development fund virement warrant except:,Fund re-allocation must be only within the same Head of Expenditure in the Capital Estimates.,The re-allocation may be part of the responses to Audit Query from the Auditor-General.,The re-allocation must not exceed the limits the Head of estimates approved by the National Assembly.,The re-allocation must not be intended to give rise to a new project.,B,,,medium
33,Authority-to-incur Expenditure (AIE) can be categorized into two:,"Regular AIE, and Special AIE","Primary AIE, and Secondary AIE","Basic AIE, and Advanced AIE","Main AIE, and Supplementary AIE.",A,,,medium
34,The recurrent expenditure is funded from the Consolidated Revenue Fund (CRF) while the capital expenditure is funded from ....................,Deposit Money Bank (DMB) capital account (DMBCA).,Central Capital Account (CCA).,Transitional Capital Account (TCA),Commercial Bank Back Capital Account (CBBCA).,B,,,medium
35,Payment vouchers (PVs) received in the Checking Section should not be held in that Section for more than ............,Twenty-Four (24) hours,Seventy-Two (72) hours,Forty-Eight (48) hours,Thirty-Six (36) hours,C,,,medium
36,A Sub-Accounting Officer may not make payment against a payment voucher (PV) if it is more than ..................since the voucher was signed by officer controlling expenditure.,Three (3) months,Nine (9) months,One (1) month,Six (6) months,A,,,medium
37,".............involve standard, budgeted revenues and expenditure that are planned for the financial year.",Cost-management accounts,Over-the-line accounts,Cash-based accounts,Above-the-line accounts,D,,,medium
38,"...............refers to all sums advanced to a public officer to meet expenditure under current estimates, for which vouchers cannot immediately be presented to a Sub- Accounting Officer for payment.",Non-personal cash Advance,Imprest,Accrual,Prepayment,B,,,medium
39,"Within ..............of the end of every financial year, each self-accounting Ministry/Extra-Ministerial Office is expected to a statutory Return on imprest received and retired to the Office of the Accountant General of the Federation.",Seven (7) days.,Twenty-four (24) days.,Twenty-one (21) days.,Fifteen (15) days.,C,,,medium
40,"........... is the personal emolument paid to an employee of an organisation, for services rendered at a predetermined rate of pay.",Employee Contribution,Allowance,Take-home,Salary,D,,,medium
41,...................are the legal instruments that empower and guide all public officers in carrying out government financial transactions.,Fiscal Documents,Financial Authorities,Revenue Authorities,Monetary Instruments.,B,,,medium
42,Government funds include the following except:,Consolidated Revenue Fund (CRF),Development Fund,Contingencies Fund,Regulatory Fund,D,,,medium
43,Financial Authorities could be in form of any of the following except:,The 1999 Constitution of the Federal Republic of Nigeria,"Finance (Control and Management) Act, 1958",The Annual Appropriation Act,The Local Government Financial Autonomy Act.,D,,,medium
44,...........is the Head of the Federal Government Accounting Services and Treasury,Sub-Treasurer of the Federation,Director - Funds Management of the Federal Government,Accountant-General of the Federation,Finance Minister and Co-ordinating Minister of the Economy.,C,,,medium
