position,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
1,"Under the Contributory Pension Scheme (CPS), what is the minimum statutory rate of contribution, and how is it distributed between the employer and the employee in the Nigerian Public Service? • Answer: The total minimum contribution is 18% of the monthly emoluments (Basic Salary, Transport, and Housing allowances). The employer contributes a minimum of 10%, while the employee contributes 8%.",,,,,,,,medium
2,Differentiate between a Pension Fund Administrator (PFA) and a Pension Fund Custodian (PFC) under the CPS. • Answer: A PFA is licensed to manage and invest the pension funds in the Retirement Savings Account (RSA). A PFC is a separate entity licensed solely to hold the pension funds and assets in trust for the employees.,,,,,,,,medium
3,"What is an RSA, and can an employee change their PFA? • Answer: An RSA stands for Retirement Savings Account. It is a unique account opened with a PFA for the payment of monthly pension contributions. Yes, an employee can transfer their RSA from one PFA to another when the transfer window opens by the regulator.",,,,,,,,medium
4,"What is the statutory role of the National Pension Commission (PenCom) under the Nigerian pension scheme? • Answer: PenCom is the apex regulatory and supervisory body for all pension matters in Nigeria. It licenses operators, issues regulations, and ensures the effective administration of the CPS.",,,,,,,,medium
5,"Which categories of public officers are legally exempted from the mandatory Contributory Pension Scheme? • Answer: Exempted categories include Judicial Officers, members of the Armed Forces, and the Intelligence and Secret Services of the Federation.",,,,,,,,medium
6,"What is the special pension enhancement or recent exit benefit introduced for federal civil servants under the CPS? • Answer: The Federal Government implements an additional exit benefit for civil servants under the CPS. This benefit allows qualifying retirees to receive additional sums (such as an exit benefit equal to 100% of their annual emoluments), separate from their standard accumulated RSA balances.",,,,,,,,medium
7,"What is the legal implication if an employer repeatedly fails to deduct or remit the statutory 18% pension contribution for their employees? • Answer: Under the Pension Reform Act 2014, an employer who fails to remit contributions within the stipulated time commits an offense and is liable to a penalty, which includes a fine and payment of the unremitted amount plus accrued interest.",,,,,,,,medium
8,"What happens to the pension of a retiree under the CPS if there are subsequent increases in salaries of active civil servants? • Answer: Pensions under the CPS must be reviewed and increased after every five years or whenever there is an increase in the salaries of active workers, in line with Section 173 of the 1999 Constitution (as Amended)",,,,,,,,medium
9,"Under the Contributory Pension Scheme (CPS), what is the statutorily mandated minimum rate of pension contribution, and how is it distributed between the employer and the employee? Answer: The minimum total contribution is 18% of the employee's monthly emoluments (defined as the total of Basic Salary, Housing, and Transport allowances). The employer contributes a minimum of 10%, while the employee contributes at least 8%.",,,,,,,,medium
10,State three primary statutory functions of the National Pension Commission (PenCom) in relation to the Nigerian civil service.,,,,,,,,medium
