position,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
1,The North-East Development Commission (NEDC) has its main headquarters located in which State...........................,Adamawa State,Kaduna State,Bauchi State,Borno State,D,,,medium
2,"The three Nations sharing FIFA tournament hosting duties..............., ................. and ....................","China, Belgium and Morroco","United States, Canada, and Mexico","Cuba, France and Germany","Brazil, China and Japan",B,,,medium
3,FIFA suspended a red card ban on ................... who is USA striker.,Raheem Sterlin,Victor Osimhen,Folarin Balogun,Taiwo Olaogun,C,,,medium
4,The current Minister of Finance and Coordinating Minister of the Economy is..........................,Chief Wale Edun.,Dr. Zach Adelabu Adedeji,Bianca Ojukwu,Taiwo Oyedele,D,,,medium
5,................was the former Boss of the allegedly fictitious government entity known as the Presidential Foreign Intervention Promotion Council (PFIPC) or the Presidential Economic Advisory Council (PEAC),Prince Aderemi Adeniji Maxwell,Prince Adeniyi Adeyemi Matthew,Prince Adeogun Ajose Emmanuel,Prince Adedeji Aderinle Mathew,B,,,medium
6,The South-East Development Commission (NEDC) has its main headquarters located in which State...........................,Edo State,Abia State,Ebonyi State,Enugu State,D,,,medium
7,The current Minister of Housing and Urban Development is ..................................,Ahmed Musa Dangiwa.,Balarabe Musa,Muttaqha Rabe Darma,Bayo Onanuga,C,,,medium
8,The South-West Development Commission (NEDC) has its main headquarters located in which State...........................,Ondo State,Lagos State,Osun State,Oyo State,D,,,medium
9,The current Minister of Minister of Power is ..................................,Joseph Olasunkanmi Tegbe .,Ambassador Sola Enikanolaiye,Bianca Odumegwu-Ojukwu,Chief Adebayo Adelabu,A,,,medium
10,The South-South Development Commission (NEDC) has its main headquarters located in which State...........................,Delta State,Rivers State,Calabar State,Akwa-Ibom State,D,,,medium
11,..........students and ............teachers in Oyo State were kidnapped on Friday..........,"60 students, 19 teachers, 2nd April, 2026.","39 students, 7 teachers, 15th May, 2026.","47 students, 13 teachers, 25th June, 2026.","43 students, 11 teachers, 23rd May, 2026.",B,,,medium
