position,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
1,Mention ten (10) financial laws /authorities guiding public sector financial transactions in Nigeria.,,,,,,,,medium
2,Enumerate the six (6) components of IPSAS-accrual general purpose financial statements (GPFS).,,,,,,,,medium
3,Highlight six (6) major differences between IPSAS Accrual-based and cash-based accounting.,,,,,,,,medium
4,Mention the objectives of financial statements.,,,,,,,,medium
5,What are the pieces of financial information that Users of Government financial report need?,,,,,,,,medium
6,Briefly describe the benefits of Accountability and Transparency.,,,,,,,,medium
7,State some objectives of the Federal GOvernment's Financial Transparency Policy.,,,,,,,,medium
8,What are the roles of OAGF in the Federal Government's Financial Transparency Initiative?,,,,,,,,medium
9,What are the roles of MDAs in the Federal Government's Financial Transparency Initiative?,,,,,,,,medium
10,Mention types of vouchers usually found in an MDA.,,,,,,,,medium
11,Mention types of advances.,,,,,,,,medium
12,State five intervention programmes of the Federal Government of Nigeria.,,,,,,,,medium
13,(a) What is a Trial Balance? (b) What are the errors that affect the agreement of the two sides of the Trial Balance? (c) What are the errors that do not affect the agreement of the two sides of the Trial Balance? (d) Rules guiding posting into the Trial Balances,,,,,,,,medium
14,Enumerate the differences between vote book and cash book.,,,,,,,,medium
15,What are the security documents which should be retained:,Permanently,For ten years,For seven years,For two years.,,,,medium
16,State ten important features of a valid voucher.,,,,,,,,medium
17,State the composition of Public Accounts Committee (PAC) members at the Senate and House of Reps.levels.,,,,,,,,medium
18,Mention three types of accounting unit in the public sector and their features.,,,,,,,,medium
19,Highlight causes of loss or shortage of fund in the Public Sector.,,,,,,,,medium
20,What are the conditions for constituting a Board of Inquiry?,,,,,,,,medium
21,What do you understand by Board of Survey?,,,,,,,,medium
22,Mention some functions of Accounting Officer.,,,,,,,,medium
23,State some duties of Head of Finance and Accounts.,,,,,,,,medium
24,Enumerate Sub-Accounting Officers.,,,,,,,,medium
25,Mention some functions of Revenue Collector.,,,,,,,,medium
26,"What is Imprest, types of imprest, and limits of reimbursable imprest?",,,,,,,,medium
27,What are irregularies that can result in loss of public funds.,,,,,,,,medium
28,What is Public Financial Management (PFM)? State the objectives of PFM.,,,,,,,,medium
29,Items the functions of the Minister of Finance.,,,,,,,,medium
30,Mention functions of the Accountant General.,,,,,,,,medium
31,Enumerate the functions of Auditor-General.,,,,,,,,medium
32,"(a) What is budget? (b) State the objectives of budget, (c) types of budget. (d) What is a MTEF. What are the components of MTEF (e) Enumerate budget assumptions taken into consideration during budget preparation. (f) Describe the budget cycle in the Nigerin Public Sector. (g) Challenges of budget implementaion (h) In what ways is the Budget deficit financed? (i) Mention various budgeting systems",,,,,,,,medium
33,(a) What are the challenges in generating adequate revenue in Nigeria? (b) What are the solutions to the challenges in generating adequate revenue in Nigeria?,,,,,,,,medium
34,(a) What does the Consolidated Revenue Fund (CRF) mean? What are its source of revenue? (b) What is Federation Account? hat are its source of revenue?,,,,,,,,medium
35,What is Treasury Single Account (TSA)? What are its objectives and Challenges?,,,,,,,,medium
36,What is e-collection? What are its objectives?,,,,,,,,medium
37,What are the objectives and challenges of cash plan policy?,,,,,,,,medium
38,List and explain four structures /classes of the Nigerian Civil Service?,,,,,,,,medium
39,What are the implication of resigning from the Nigerian Civil Service?,,,,,,,,medium
40,40. What are the general duties of Civil Servants?,,,,,,,,medium
41,Mention ten code of ethics in civil service.,,,,,,,,medium
42,What are the core values of civil service?,,,,,,,,medium
43,State the sources of authority in public service.,,,,,,,,medium
44,(a) What is a contract appointment? (b) Types of contract appointment? (c) Mention Short-term appointments in the Public Service.,,,,,,,,medium
45,(a) What is Recruitment in the public service? (b)Types of appointment?,,,,,,,,medium
46,Mention the eligibility for permanent and pensionable appointment into the Federal Civil Service.,,,,,,,,medium
47,What are the conditions for acting appointment in the Nigerian Civil Service?,,,,,,,,medium
48,Differentiate between Transfer and Secondment. (a) Give definition of each and (c) procedures required for granting transfer /secondment.,,,,,,,,medium
49,a. What is promotion?,,Conditions required for promotion in the Federal Civil Service.,Eligibility criteria for the post of permanent secretaries in the Federal Civil Service?,Ways of creating vacancies in the Service? e. i. What is Condonation of service? ii. What are the circumstances for condonation of service?,,,,medium
50,a. What is Misconduct in the Nigerian Civil Service?,,Mention some acts of misconducts.,What is Serious Misconduct in the Nigerian Civil Service?,Mention some acts of serious misconducts.,,,,medium
51,Briefly differentiate between Cash Basis IPSAS and Accrual Basis IPSAS as currently implemented in the Nigerian public sector.,,,,,,,,medium
52,What is the significance of IPSAS 24 (Presentation of Budget Information in Financial Statements) to a Nigerian civil servant in an accounts or budget department?,,,,,,,,medium
53,State four (4) major benefits of adopting IPSAS in the Nigerian public sector.,,,,,,,,medium
54,Define GIFMIS and briefly explain how it has helped in reducing corruption and payroll fraud within the Nigerian public sector.,,,,,,,,medium
55,Enumerate at least four (4) major benefits of the GIFMIS reform to the Federal Government of Nigeria.,,,,,,,,medium
