position,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
1,The certificate of service of retiring officers on GL 07 and above requires the signature and counter-signature of………… and……….. while that of GL 06 and below requires the signature and counter-signature of………… and……………….,"For GL 07 and above, it requires the signatures of the Permanent Secretary of FCSC, and the Permanent Secretary of the Officer’s MDA. On the other hand, For GL 06 and below, it requires the signatures of the Permanent Secretary of Career Management Office (CMO), and the Permanent Secretary of the Officer’s MDA.","For GL 07 and above, as well as GL 06 and below, the officers only need the endorsement of Deputy Director (Training and Staff Welfare) and the Director, Human Resources Management.","It requires the signature of the immediate supervisor of the retiring officer, in accordance with the extant public service rules (PSR).",All of the above.,,,,medium
2,"PAID FOR, OBJECTIVE PRACTICE QUESTIONS- ANSWERS (CIVILIAN, JUDICIAL AND UNIFORMED PERSONNEL)",,,,,,,,medium
3,d,,,,,,,,medium
4,b,,,,,,,,medium
5,d,,,,,,,,medium
6,a,,,,,,,,medium
7,d,,,,,,,,medium
8,c,,,,,,,,medium
9,d,,,,,,,,medium
10,a,,,,,,,,medium
11,c,,,,,,,,medium
12,d,,,,,,,,medium
13,c,,,,,,,,medium
14,c,,,,,,,,medium
15,c,,,,,,,,medium
16,a,,,,,,,,medium
17,a,,,,,,,,medium
18,b,,,,,,,,medium
19,d,,,,,,,,medium
20,a,,,,,,,,medium
21,b,,,,,,,,medium
22,c,,,,,,,,medium
23,a,,,,,,,,medium
24,d,,,,,,,,medium
25,c,,,,,,,,medium
26,b,,,,,,,,medium
27,b,,,,,,,,medium
28,d,,,,,,,,medium
29,a,,,,,,,,medium
30,b,,,,,,,,medium
31,a,,,,,,,,medium
32,a,,,,,,,,medium
33,d,,,,,,,,medium
34,b,,,,,,,,medium
35,c,,,,,,,,medium
36,b,,,,,,,,medium
37,d,,,,,,,,medium
38,b,,,,,,,,medium
39,c,,,,,,,,medium
40,c,,,,,,,,medium
41,b,,,,,,,,medium
42,c,,,,,,,,medium
43,c,,,,,,,,medium
44,d,,,,,,,,medium
45,c,,,,,,,,medium
46,c,,,,,,,,medium
47,c,,,,,,,,medium
48,a,,,,,,,,medium
49,b,,,,,,,,medium
50,a,,,,,,,,medium
51,d,,,,,,,,medium
52,c,,,,,,,,medium
53,a,,,,,,,,medium
54,c,,,,,,,,medium
55,d,,,,,,,,medium
56,b,,,,,,,,medium
57,d,,,,,,,,medium
58,a,,,,,,,,medium
59,b,,,,,,,,medium
60,b,,,,,,,,medium
61,d,,,,,,,,medium
62,d,,,,,,,,medium
63,c,,,,,,,,medium
64,d,,,,,,,,medium
65,b,,,,,,,,medium
66,d,,,,,,,,medium
67,c,,,,,,,,medium
68,c,,,,,,,,medium
69,a,,,,,,,,medium
70,b,,,,,,,,medium
71,c,,,,,,,,medium
72,d,,,,,,,,medium
73,b,,,,,,,,medium
74,c,,,,,,,,medium
75,b,,,,,,,,medium
76,c,,,,,,,,medium
77,c,,,,,,,,medium
78,d,,,,,,,,medium
79,a,,,,,,,,medium
80,d,,,,,,,,medium
81,c,,,,,,,,medium
82,b,,,,,,,,medium
83,a,,,,,,,,medium
84,d,,,,,,,,medium
85,d,,,,,,,,medium
86,b,,,,,,,,medium
87,d,,,,,,,,medium
88,a,,,,,,,,medium
89,d,,,,,,,,medium
90,d,,,,,,,,medium
91,b,,,,,,,,medium
92,d,,,,,,,,medium
93,b,,,,,,,,medium
94,c,,,,,,,,medium
95,a,,,,,,,,medium
96,b,,,,,,,,medium
97,b,,,,,,,,medium
98,b,,,,,,,,medium
99,b,,,,,,,,medium
100,b,,,,,,,,medium
101,c,,,,,,,,medium
102,c,,,,,,,,medium
103,b,,,,,,,,medium
104,b,,,,,,,,medium
105,b,,,,,,,,medium
106,c,,,,,,,,medium
107,c,,,,,,,,medium
108,b,,,,,,,,medium
109,c,,,,,,,,medium
110,c,,,,,,,,medium
111,b,,,,,,,,medium
112,b,,,,,,,,medium
113,b,,,,,,,,medium
114,c,,,,,,,,medium
115,c,,,,,,,,medium
116,c,,,,,,,,medium
117,b,,,,,,,,medium
118,b,,,,,,,,medium
119,c,,,,,,,,medium
120,b,,,,,,,,medium
121,c,,,,,,,,medium
122,b,,,,,,,,medium
123,b,,,,,,,,medium
124,a,,,,,,,,medium
125,c,,,,,,,,medium
126,b,,,,,,,,medium
127,c,,,,,,,,medium
128,b,,,,,,,,medium
129,b,,,,,,,,medium
130,b,,,,,,,,medium
131,c,,,,,,,,medium
132,b,,,,,,,,medium
133,c,,,,,,,,medium
134,c,,,,,,,,medium
135,c,,,,,,,,medium
136,c,,,,,,,,medium
137,d,,,,,,,,medium
138,c,,,,,,,,medium
139,b,,,,,,,,medium
140,c,,,,,,,,medium
141,c,,,,,,,,medium
142,a,,,,,,,,medium
143,d,,,,,,,,medium
144,b,,,,,,,,medium
145,c,,,,,,,,medium
146,a,,,,,,,,medium
147,b,,,,,,,,medium
148,a,,,,,,,,medium
149,b,,,,,,,,medium
150,c,,,,,,,,medium
151,b,,,,,,,,medium
152,a,,,,,,,,medium
