position,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
1,Posting of officers to a post outside his professional cadre is..............,Recommended.,Overlooked.,subject to available vacancies.,prohibited.,D,,,medium
2,Promotion to posts grade level 17 and below are vested in the........................,Office of the Head of the Service of the Federation.,Office of the Secretary to the Government of the Federation.,Honourable Minister of the Ministry of Labour and Employment.,Federal Civil Service Commission.,D,,,medium
3,Some of the following are conditions for promotion except:,Maturity on posts and seniority.,No pending disciplinary cases and availability of vacancies.,Submission of PMS/APER forms and passing of prescribed examination,All of the above.,D,,,medium
4,A newly recruited officer will be allowed to sit for compulsory examination for confirmation if he has spent ........pending the completion of probationary period of ............in the Service.,"nine months, four years.","two months, one year.","six months, two years",None of the above.,C,,,medium
5,An officer who is seeking the post of a permanent secretary must satisfy the following eligibility criteria except one.,Being on GL 17 for at least two years and he/she is in the mainstream of the Federal Civil Service.,Being verified on IPPIS as a confirmed officer and must not be retiring on or before 31st December of the following year.,Being an indigen of a State where vacancy exists but the indigenship must not be by marriage.,Having lingering and unresolved disciplinary cases.,D,,,medium
6,"An officer's appointment may be terminated without any further compensation by an appointing authority during probationary period, if his is proven to be unqualified for efficient service. He may however be granted ................to his domicile of origin if his conduct has been good.",Leave Allowance,Duty Tour Allowance.,Resettlement Allowance,Free Transport,D,,,medium
7,An officer who resigned his appointment during probationary period may be required to refund any expenditure incurred in transporting his family to the place where he came from.,He is however entitled to free transport from the station at which he was serving to his permanent residence.,He is eligible for Duty Tour Allowance (DTA).,He is not eligible for any facility from the Government towards his movement from station at which he was serving.,He can claim his Resettlement Allowance.,C,,,medium
8,An appeal against the decisions of the Senior Staff Committee should be forwarded to the..............for determination.,Industrial Court of Nigeria,Head of the Civil Service of the Federation.,"Director, Human Resources of the concerned MDA",The Federal Civil Service Commission.,D,,,medium
9,"An officer adjudged by a court of law to be guilty of a criminal offence ............from the date of such judgement, pending the decision of the appropriate authority.",will not receive any emoluments.,will receive 50% emoluments.,will receive 100% emoluments.,None of the above.,A,,,medium
10,Which of the following are disciplinary measures that may be taken against erring officers?,"Dismissal, termination and retirement.",Reduction in rank and reduction in salary,Withholding or deferment of increment as well as loss of pay/non-payment for days absent from office without authority.,Mandatory training for the concerned officers for higher performance.,D,,,medium
11,Every officer has a right of appeal against the decisions of the appropriate authority and an appeal against the decisions of the Junior Staff Committee should be forwarded to the..............for determination.,Commissioners of the Federal Civil Service Commission.,Head of the Civil Service of the Federation.,Senior Staff Committee of the concerned MDA.,All of the above.,C,,,medium
12,Which traditional evaluation tool was officially phased out across the Federal Civil Service to make way for the modern Performance Management System (PMS)?,The Integrated Personnel and Payroll Information System (IPPIS),The Annual Performance Evaluation Report (APER) form,The Civil Service Scheme of Service Handbook,The Manpower Budget Allocations Matrix.,B,,,medium
13,What is the primary operational philosophy behind the newly institutionalized Performance Management System (PMS) in the Nigerian public sector?,To automate the physical attendance tracking of junior officers.,To guarantee automatic promotions for all civil servants every three years.,To link individual officer deliverables directly to national strategic goals and institutional mandates.,To reduce the total number of directorates within the federal ministries.,C,,,medium
14,"Who serves as the Head of the Civil Service of the Federation (HCSF), driving the strict execution and digital integration of the PMS across federal MDAs?",Danladi Kifasi,Winifred Ekanem Oyo-Ita,Mrs. Didi Esther Walson-Jack,Dr. Opeyemi Agbaje,C,,,medium
15,The Performance Management System operates as a continuous annual cycle. What is the correct sequence of the core stages within the standard PMS workflow?,Promotion Examination → Discipline → Retirement → Evaluation,Performance Planning → Continuous Monitoring/Coaching → Mid-Year Review → End-of-Year Assessment,Salary Increment → Query Issuance → Job Description Drafting → Archiving,Budget Deficit Mapping → Recruitment → Training → Suspension,B,,,medium
16,"When civil servants sit with their supervisors to plan performance milestones, key deliverables must be structured using the ""SMART"" acronym. What does the ""R"" stand for in this public service framework?",Regulatory,Retributive,Realistic / Relevant,Remunerative,C,,,medium
17,What is the name of the binding administrative document signed between an officer and their supervisor at the beginning of the evaluation year to seal their performance commitments?,Public Service Oath of Secrecy,Performance Agreement or Performance Contract,Scheme of Service Contract,Civil Service Union Charter,B,,,medium
18,"The continuous monitoring phase of the PMS mandates that when a supervisor notices a performance gap in an officer's output, they must immediately deploy:",An official query for misconduct under PSR 030301.,A suspension recommendation to the Federal Civil Service Commission.,"Regular coaching, mentoring, and tailored capacity development interventions.",A salary forfeiture voucher to the accounts department.,C,,,medium
19,"To ensure smooth integration, every Federal MDA is mandated to set up a dedicated team to drive internal compliance and train staff on PMS portals. What is this internal unit called?",Anti-Corruption and Transparency Unit (ACTU),Department of Human Resource Management,PMS Core Implementation Team / Performance Management Department,Servicom Compliance Desk,C,,,medium
