position,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
1,MTFSP is................................,Medium Term Fiscal Strategy Paper,Mid-Term Financial Solution Policy,Medium Term Funding Strategic Plan,Mid-Term Framework Support Programme.,A,,,medium
2,MTFF implies....................,Mid-Term Funding Focus.,Medium-Term Fiscal Framework.,Mid Term Financial Framework.,Medium Term Funding Focus.,B,,,medium
3,".........................serve as the statutory foundational documents for preparing the national budget, as well as for macroeconomic projections and spending plans for a rolling three-year period in Nigeria.",NRPP/STP,ERPS/STP,MTEF/FSP,DSCE/NRP,C,,,medium
4,...............is a situation where the anticipated expenditure is higher than the projected revenue over a period of one year.,Balanced budget,zero-based budget,expenditure budget,budget deficit.,D,,,medium
5,...........................was introduced for ensuring prudent management of national resources through MTEF and other budgetary reforms.,"Fiscal Responsibility Act (FRA), 2007.","Budget Office Act (BOA), 2009.","Nigeria Revenue Act (NRA), 2025.","National Salaries, Income and Wages Act, 2019.",A,,,medium
6,...............is any income or returns accruing to or derived by the government of the federation from any sources.,Surplus budget,Kaizen financing,Activity-based financing,Revenue,D,,,medium
7,The Nigeria's national budget can also be referred to as.....................,Disbursement Act,Ailing finance,Appropriation Act.,Bankruptcy.,C,,,medium
8,"With effect from 1st January, 2026, IPSAS 47 would unify and replace .........",IPSAS 9 (Exchange Transactions).,IPSAS 11 (Construction Contracts).,IPSAS 23 (Non-Exchange Transactions).,All of the above.,D,,,medium
9,"IPSAS 43 replaces ................on leases with effect from 1st January, 2026.",IPSAS 4,IPSAS 13,IPSAS 21,IPSAS 33,B,,,medium
10,"Effective 1st January, 2026, IPSAS 45 on Property, Plant and Equipment) replaces ...........",IPSAS 17,IPSAS 22,IPSAS 30,IPSAS 1,A,,,medium
11,"The provision for the establishment of a special pool account, called Federation Account in Nigeria is in............",Section 85 (2) of the 1999 Constitution.,Section 11 of the 1999 Constitution.,Section 162 of the 1999 COnstitution.,Section 23 of the 1999 Constitution.,C,,,medium
12,Federation Account Allocation Committee (FAAC) was establsihed through ..........................to deal with Revenue Allocation among the three teirs of government in Nigeria.,"Federal Inland Revenue Act, 2007 as amended.","Revenue Allocation and Distribution Act, 1992 as amended.","Fiscal Responsibility Act, 2007 as amended.","Control (Finance & Management) Act, 1958 as amended.",B,,,medium
13,The balance in the Federation Account is distributed among the three tiers of government after deducting...................,10% Local Government Special Fund.,7.5% Value Added Tax (VAT),13% Derivation,5% Withholding Tax (WHT).,C,,,medium
14,Federation Account Allocation Committee (FAAC) is is sub-divided into....................,Technical Session.,Plenary Session.,Post-mortem Session.,All of the above.,D,,,medium
15,Federation Account maintains...............after the revenue sharing at the end of every month.,Surplus Balance,None of the above.,Nil Balance,Deficit Balance,C,,REVIEW REQUIRED — source question 105: missing option B; duplicate option label(s): D; duplicated option text preserved separately: D. None of the above.,medium
16,FAAC Technical Session meets a day before the Plenary Session to..............,consider the accounts of the Revenue Collecting Agencies and Pensions.,consider the accounts of Revenue available for distribution.,make recommendations to the plenary session for the adoption of the accounts.,all of the above.,D,,,medium
17,which of the following are functions of the Plenary Sub-Committee of the FAAC?,To further deliberate on the accounts ONLY.,To adopt the accounts for distribution to the beneficiaries ONLY.,Both A and B Options.,None of the above.,C,,,medium
